Tema,Tarefas
Mecânica Quântica,Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Blockchain e Criptomoedas,Cria um website simples que explique {tema} para iniciantes.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um enigma ou puzzle matemático baseado em {tema}.
Revolução Francesa,Pesquisa e resume um artigo científico sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Cultura Romana,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Desenvolvimento Sustentável,"Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Mecânica Quântica,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Cultura Romana,Elabora um workshop educativo prático sobre {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa e resume um artigo científico sobre {tema}.
Eletricidade e Magnetismo,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
História da Medicina,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um argumento defendendo e outro contra {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
DNA e Genética,"Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um código de programação simples que ilustre um conceito de {tema}."
Ecossistemas Marinhos,Escreve um código de programação simples que ilustre um conceito de {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Política Internacional,Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
O Sistema Solar,"Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Descobre uma inovação recente relacionada a {tema} e explica como funciona."
Energia Nuclear,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Linguística e Origem das Línguas,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.
Realidade Virtual e Aumentada,Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Energia Nuclear,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um enigma ou puzzle matemático baseado em {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Linguística e Origem das Línguas,"Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Escreve um discurso político que mencione a importância de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?"
Economia Sustentável,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um website simples que explique {tema} para iniciantes.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Criatividade e Inovação,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Redes Neurais Artificiais,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um website simples que explique {tema} para iniciantes.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Ecossistemas Marinhos,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?
Reações Químicas,Cria um enigma ou puzzle matemático baseado em {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Encontra e analisa um caso real que envolva {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
O Sistema Solar,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve um poema ou música sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Teoria da Relatividade,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um argumento defendendo e outro contra {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias."
DNA e Genética,"Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?"
Política Internacional,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Eletricidade e Magnetismo,Escreve um argumento defendendo e outro contra {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Matemática na Música,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Astronomia Observacional,Escreve um poema ou música sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
História da Computação,Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenha um infográfico para explicar {tema} de forma visual.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um website simples que explique {tema} para iniciantes.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Fotossíntese,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Cultura Romana,Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Elabora um workshop educativo prático sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um website simples que explique {tema} para iniciantes.
Grandes Descobrimentos,Cria um website simples que explique {tema} para iniciantes.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.
Linguística e Origem das Línguas,Cria um website simples que explique {tema} para iniciantes.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Grandes Descobrimentos,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um website simples que explique {tema} para iniciantes.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Fotossíntese,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.
O Ciclo da Água,Escreve um poema ou música sobre {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Big Bang e a Origem do Universo,Encontra e analisa um caso real que envolva {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Segunda Guerra Mundial,Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Elabora um workshop educativo prático sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Blockchain e Criptomoedas,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Realidade Virtual e Aumentada,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um enigma ou puzzle matemático baseado em {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Segunda Guerra Mundial,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um website simples que explique {tema} para iniciantes.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.
Psicologia Comportamental,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve um poema ou música sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Encontra e analisa um caso real que envolva {tema}."
Neurociência,Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.
Expansão Marítima Portuguesa,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Energia Nuclear,Encontra e analisa um caso real que envolva {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve um argumento defendendo e outro contra {tema}.
Psicologia Comportamental,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve um argumento defendendo e outro contra {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Pesquisa como {tema} é abordado em diferentes culturas e países.
Cálculo Diferencial,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um website simples que explique {tema} para iniciantes.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Linguística e Origem das Línguas,Desenha um infográfico para explicar {tema} de forma visual.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Engenharia Aeroespacial,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um website simples que explique {tema} para iniciantes.; Escreve um discurso político que mencione a importância de {tema}.
Economia Sustentável,"Encontra e analisa um caso real que envolva {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais."
Geopolítica e Conflitos Mundiais,"Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um website simples que explique {tema} para iniciantes.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve uma história fictícia onde {tema} desempenha um papel crucial."
Teoria da Relatividade,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Pesquisa e resume um artigo científico sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Ética na Inteligência Artificial,Desenha um infográfico para explicar {tema} de forma visual.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Blockchain e Criptomoedas,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Ética na Inteligência Artificial,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
Eletricidade e Magnetismo,Escreve um poema ou música sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um website simples que explique {tema} para iniciantes.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Realidade Virtual e Aumentada,Cria um website simples que explique {tema} para iniciantes.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Encontra e analisa um caso real que envolva {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um enigma ou puzzle matemático baseado em {tema}.
Expansão Marítima Portuguesa,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola."
Ética na Inteligência Artificial,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um website simples que explique {tema} para iniciantes.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Elabora um workshop educativo prático sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.
Direitos Humanos,Escreve um discurso político que mencione a importância de {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Linguística e Origem das Línguas,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Pesquisa como {tema} é abordado em diferentes culturas e países.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.
